"Tweets","Duygu",""
" sayın cumhurbaşkanım turizm için ertelendiğini biliyoruz fakat illa ki uygun zaman vardır lütfen sağlığımız ve psikol ","1",""
" bir kere ya bir kere gencinizi dinleyin biz yanlış bir şey demiyoruz ki herkes için doğrusunu söylüyoruz ","1",""
"o kadar çok mağduruz ki neye üzüleceğime şaşırdım hiçbir yerden destek alamıyoruz yasak var dışarı çıkamıyoruz   ","1",""
" bu sınav tarihini değiştirirken pedaloglara ve psikologlara danışıldı mı tabiki hayır bu kararı kim verdi turizm bakanI ","1",""
" turizm yılı gençlik geleceğinizi kurtarır ","2",""
" sizden kıyak isteyen yok turizm yüzünden yediğiniz hakkımızı geri verin haftadır milletün planı alt üst oldu zaten  ","1",""
" bunu söylemek bile üzüyor ama turizm bu kadar değerliyse sınavı ağustos sonu veya eylül gibi alsanız da olur ","1",""
" mayıs ı gençlere armağan eden ulu önder mustafa kemal atatürk ten turizm için gençlerin canını ve geleceğini hiçe say ","1",""
" turizm mi önemli ülkenin geleceği olan bizler mi ","1",""
" erteleyin son iftarlarimizi rahat yapalım sağlık bakanı riskli diyor turizm bakanın olmayan beynine sokayim ","1",""
" turizm mi önemli cidden ","1",""
" hem turizm hemde bizler önemliyiz o yüzden sınavı daha ileri bir tarihe erteleyin ki iki tarafın gönlü olsun ","0",""
" mağdur olmasın diye tek bir ögrenci için tren durağı işleten japonya turizm geliri için milyonlarca ögrencisini hiçe sayan ülkem","1",""
" sınav eylül de olabilirdi aileler bu uzun maratondan bunalıp çocuklarına nefes aldırmak için tatile çıkabilirlerdi ","1",""
" turizm temmuz içinse ağustos eylule alın sınavı ","0",""
" sınavı öne almadan önce maskelerin ve dezenfektanların bulaşmayı önleme de yetersiz olduğunu o yüzden evlerden çıkmamamız gerektiğini ne zaman anlayacaksınız ","1",""
" dünyaca ünlü turizm merkezi uzungöl de kovid sessizliği ","0",""
" diyanet milyar liralık harcama ile bakanlığı geride bıraktı cumhuriyet  yer alan habere göre diyanet aylık harcaması ","0",""
" sayın erteleyin ki bayram olsun turizm gençlikten önemli değildir ","1",""
" geçen gün turizm bakanı olayında reise had bildirmeye çalışan saçma tavırlar içinde olan birkaç hesap vardı sinirlendim ","1",""
" bakanı mehmet nuri ersoy  istanbul  fethini işgal olarak nitelendirmesi türk milletince kabul edilecek mi ","1",""
"hem turizm hemde bizler önemliyiz o yüzden sınavı daha ileri bir tarihe erteleyin  iki tarafın gönlü olsun ","0",""
" trabzon  turizm sektörünün temsilcileri ile biraraya geldik pandemi  turizm sektörüne etkileri ile coronavirü ","0",""
" kurum yerli ve yabancı turistler için önemli bir turizm merkezi olan ilçemizin çehresini de değiştirecek","2",""
" samet sayın cumhurbaşkanım erteleyinki bayram olsun turizm gençlikten önemli değildir ","1",""
"dedi ve yks tarihini turizm için öne çekti işte ","1",""
" para bu kadar önemliyse gençliğin sağlığından adaylar bir kere daha tl versin bari turizm için ertelemenize gerek kalmaz ","0",""
"sizden kıyak isteyen yok turizm yüzünden yediğiniz hakkımızı geri verin haftadır milletün planı alt üst oldu ","1",""
"bugün saat nejla kurul ve eğitimsen şb bşk yurttaş yıldırım ile giderek büyüyen eğitim sorunlarını konuşacağız","0",""
" gercekten niye kimse cikip aciklama yapmiyor bari aciklama yapin sundan ertelemiyoruz turizm bi aciklayin ","1",""
" biz gençlerin hayallerini turizm için satmak yerine bize bırakacağınız geleceği güzelleştirebilmemiz için iş yapın","1",""
" turizm bakanından daha değerli olduğumuzu bu günde gösterin bize ","1",""
" çocuklarımızın geleceğini psikolojisini kaç paraya sattınız bu kadar öğrenci sizin turizm şirketi sahibi bakanınızın cebini doldurmak içinmi var ","1",""
" keşke bize turizm sizden önemlidir diye açıklama yapsanız en azından dürüst olursunuz ","1",""
" siz bilirsiniz ama benim bir fikrim var sınavı eylül ayına alın ne turizm zarar görsün ne egitim ","0",""
" hiçbir ülke turizm geliri için gençliğini ve geleceğini satmaz ","1",""
"bu sınav tarihini değiştirirken pedaloglara ve psikologlara danışıldı mı tabiki hayır bu kararı kim verdi turizm ","1",""
" turizm yokluğundan korkuyorsanız erteleyin ağustosa aytden çıkınca dağıtın herkese bayrak zafer bayramını kutlayalım ","0",""
" ben turizm okudum ondan da bi bok olmuyor arkadaşlar sadece derste rakı şarap falan içip alkollü içecekler hakkında konuşuluyor","1",""
" çocuklarımız turizm gelirine kurban edilemez ","1",""
" hayır ama şuan  en sağlıklısı bu olacak ve diyoruz ki virüs tehlikesi geçene kadar olsun beklesinler bi ","0",""
" bu çıkarcı düşüncelerinizle bu çocukları boğamayacaksınız gençleri yakıyorsunuz turizm iyi olmuş kime ne ","1",""
"  başkanı mehmet şahin neden dillendirmiyor bu turizm esnaflarının dükkan kiralarını ","1",""
" nisan  üzerinde ürüne ilave gümrük vergisi gelmişti bugün  pek çok üründe gümrük vergisi artırıldı ben ","1",""
" kktc açısından hem iyi bir gelişme hem de büyük başarı konu türkiye  girişimleriyle mümkünse dsö  tescil ettiri ","2",""
" bekliyoruz serik  belediye başkanına rüşveti kimin verdiği ile ilgili turizm bakanının açıklamasını ","1",""
"covid pandemisinde kongre ve etkinliklere yaklaşımımız anketibsektörün nabzını birlikte tutalım   ","0",""
"  turizm  hizmetlisine el öptürüp bahşiş verirken böyle görgüsüz ve insanlıktan çıkmış kişileri cezalandırın ","1",""
" olmadı öğrenciye ait tek cümle kurmadı çaydan bahsetti cumhur ittifakı dedi fetö dedi ama milyonlarca ögrenciyi turizme kurban etti","1",""
" uzmanlar yanıtladı turizm sektörü ve taşımacılık pandemiden sonra nasıl değişecek ","0",""
" aydogan dün turizm bakanı tiyatroların geleceği konusunda önemsiz açıklamalar yaptı ","1",""
" tami tamina senedir kicimi yirtiyorum sesimi duyurabilmek icin yuzlerce kez cimer e yazdim rte a mail fax gönderdim   ","1",""
" uzun yıllar tarihi dokusunu korumuş olan ceyhan köprüsü taş köprü çevresine yapmayı planladığımız kılavuzlu millet bahçesini istemiyoruz ","1",""
" turizm için eğitimi feda etmişler sen daha ne dersin neyden bahsedersin ","1",""
" nisan da in üzerinde ürüne ilave gümrük vergisi gelmişti bugün de pek çok üründe gümrük vergisi artırıldı ","0",""
" bu öğrencilerin sesini duyun artık turizm mi daha önemli yoksa insan canı mı ","1",""
" bu ogrencilerin ailelerinden aldıginiz yardimlar yetmedi mi de turizm ugruna geleceklerini yakiyosunuz ","1",""
" turizm şirketleri insan sağlığından önemli değildir ","1",""
" antalya da turizm ayağına yasakları kaldırdınız sokaklar full","1",""
" soruları turizm bakanı hazırlasın ","1",""
"türk gençleri olarak bu ülkede söz sahibi olmadığımızı ve turizm sektörünün yarının büyükleri olan bizden ağır bastı ","1",""
"en baştan beri bunu söylüyorum ama gidilecek bölgeler kısıtlı olmalı turizm alanlarına giriş engellenmeli sadece ","0",""
"turizm dekanları paneli canlı yayınını izleyemeyenler için link aşağıda yer almaktadır ","0",""
"her ne kadar bu isteklerde bulunan gençlerin bazılarının art niyetli ve nefsani duygularına katılmasam da alınan karar yanlış","1",""
" bizim savaştan önce eğitim diyen bi atamız vardı şimdi eğitimden önce turizm diyen yönetim var","1",""
" bütün umudum gençliktedir bu söz ne kadar anlamlı ve doğru değil mi bu söz tam da bu sene unutuldu ","1",""
"eğitim kararlarını turizm bakanı nın aldığı nerede görüldü ","1",""
" lan tamam bari ağustosta yapın o zaman turizm de etkilenmez eylülde de tercihleri yaparız öğrenci düşmanı mısınız ya   ","0",""
" amaç turizmi değil şirketi olan turizm bakanını kurtarma çabasıdır ","1",""
" sanki temmuz ayında özellikle turizm beldelerinde ki işletmeler rahatlayacaktır","2",""
"yks siyasi iktidar tarafından turizm sezonu gerekçe gösterilerek ay öne çekildi ","0",""
" beyefendi virüs varken sırf turizm için sınavı öne çekmek mantıksızlık   ","1",""
" dünya turizm örgütü uluslararası turizmde bu yıl milyon ila milyar turist kaybı yaşanacak dedi","1",""
"turkiye sehir olarak antalya sektor olarakcilik bu viruse karsi her anlamda en hazir olandir   ","2",""
" imar planı onaylandı koruma amaçlı imar planı kültür ve turizm bakanlığı tarafından onaylandı   ","0",""
" turizm bakani ösym başkanı milli egitim bakanı ve özellikle cumhurbaşkani sizler özellikle bu karede net milyon twitle cevap vereceğiz ","1",""
" bu çıkarcı düşüncelerinizle bu çocukları boğamayacaksınız gençleri yakıyorsunuz turizm iyi olmuş ","1",""
" yazıklar olsun ya daha ne denilebilir ki çay kadar turizm kadar değerimiz yokmuş ","1",""
" hatırlatma için teşekkür kim bilir daha neler var doğu karadeniz de bunu şimdi görüyorum bölge gelecek için ekoturizm ","2",""
" ne okudun turizm senin oraya gelim de bana bi rus ayarla ","1",""
" en baştan beri bunu söylüyorum ama gidilecek bölgeler kısıtlı olmalı turizm alanlarına giriş engellenmeli ","0",""
"avmler açılsın berberler güzellik salonları açılsın sınavlar öne çekilip öğrencilerin psikolojileri altüst edilsin ","1",""
" dogu avm çalışanları aktiftiler bir şekilde kısa ödenek alabiliyorlar   ","1",""
" turizmden açılsa da beklentimiz çok yüksek olmamalı biz gelecek turistten pcr talep etsek de turist gelirken acaba gidip yaparmı ","0",""
" ziya selçuk diyor yks bizimle ilgili değil yök ortalıkta yok bize turizm bakanı bakıyor ","1",""
" şile yi hem istanbul hem de türkiye ölçeğinde turizm destinasyonu haline getirmek en büyük arzumuz ","2",""
"istanbul il kültür ve turizm müdürlüğümüzün ev sahipliğinde gerçekleşecek olan program sosyal medya hesaplarımızda","0",""
" bana bak ösym vallahi çocukları bi salarım dışarıya virüs mirüs hak getire ondan sonra sınavlarda sorarsın   ","1",""
" turizm bakanınında bu kadar üzerine gelmeyin sonuçta etstur un sahibi ve milletten daha önemli işleri var ","1",""
" cahil yandaş ve yalanci adana daki zaten adı üstünde sahra hastanesi olduğu için acele alçıpan panellerle yapıldı","1",""
"turizm bölgesi ama senelerdir turizm yatırımından vazgeçtim altyapısı bile tam yapılmadı havaalanına sahil yolu açılmadı ","1",""
"hep beraber ya gidiyoruz japonya turizm ajansı temmuz ayı itibariyle ülkeyi ziyaret edecek olan turistlere promosyon verecekmiş ","2",""
" bence bu yıl rusya dan turist beklentisini yükseltmeyelim bahanesiyle vatandaşlarının yurt dışına çıkışını teşvik etmeyin","1",""
"yks nin yarın yapılması için milyon tweet atalım bugün turizm bizden değerlidir önü açılsın ","0",""
" bizim turizm ve hizmet sektörü istihdamın dan fazlasını karşılıyor çok büyük bir rakam mecburuz ","0",""
" şanlıurfa daki göbeklitepe the national geographic in mutlaka ziyaret edilmesi gereken yerler listesinde","0",""
"bakan çavuşoğlu türkiye nin dış politikasını atatürk ün yurtta sulh cihanda sulh anlayışıyla sürdürüyoruz ","2",""
"birazda turizm esnafının yanında olsanız çok seviniriz ","1",""
"ingiltere almanya fransa ile turizm dörtlü toplantısı yaptık bakan çavuşoğlu açıkladı","0",""
"uçuş iptalleri oteller için iyi haber değil rusya ve almanya hava koridoru açılmadığı sürece turizm sezonu bitik","1",""
"italya dışişleri bakanı di maio haziran avrupa da turizm için kurtuluş günüdür dedi","2",""
" japonya turizm ajansı temmuz ayı itibariyle ülkeyi ziyaret edecek olan turistlerin harcamalarının yarısının devlet tarafından karşılanacağını bildirdi ","0",""
" turkey kültür ve turizm bakan yardımcımız sn tr ramazan da yaklaşık ülkeye türkiye nin yardımlarını ulaştı ","0",""
"ingiltere almanya fransa ile turizm dörtlü toplantısı yaptık bakan çavuşoğlu açıkladı ","0",""
"almanya ülkeye seyahat yasağını kaldırıyor ilk listede türkiye yok    ","0",""
" döviz ve altın alımına vergi koyup valör getiren işsizlik sayısı artan covid yüzünden tabii ki ","1",""
" ilerleyen günlerde ele alınabilecekler konulardan bir tanesi de turizm pandemi sonrası ekolojik turizm ","0",""
" arabası var liralık yardımın peşinden koşturuyor ","1",""
