Tweets,"Duygu",""
 say ın cumhurbaşkan ım turizm için ertelendiğini biliyoruz fakat illa ki uygun zaman vard ır lütfen sağl ığ ım ız ve psikol ,"1",""
 bir kere ya bir kere gencinizi dinleyin biz yanl ış bir şey demiyoruz ki herkes için doğrusunu söylüyoruz ,"1",""
o kadar çok mağduruz ki neye üzüleceğime şaş ırd ım hiçbir yerden destek alam ıyoruz yasak var d ışar ı ç ıkam ıyoruz   ,"1",""
 bu s ınav tarihini değiştirirken pedaloglara ve psikologlara dan ış ıld ı m ı tabiki hay ır bu karar ı kim verdi turizm bakanI ,"1",""
 turizm y ıl ı gençlik geleceğinizi kurtar ır ,"2",""
 sizden k ıyak isteyen yok turizm yüzünden yediğiniz hakk ım ız ı geri verin haftad ır milletün plan ı alt üst oldu zaten  ,"1",""
 bunu söylemek bile üzüyor ama turizm bu kadar değerliyse s ınav ı ağustos sonu veya eylül gibi alsan ız da olur ,"1",""
 may ıs  ı gençlere armağan eden ulu önder mustafa kemal atatürk ten turizm için gençlerin can ın ı ve geleceğini hiçe say ,"1",""
 turizm mi önemli ülkenin geleceği olan bizler mi ,"1",""
 erteleyin son iftarlarimizi rahat yapal ım sağl ık bakan ı riskli diyor turizm bakan ın olmayan beynine sokayim ,"1",""
 turizm mi önemli cidden ,"1",""
 hem turizm hemde bizler önemliyiz o yüzden s ınav ı daha ileri bir tarihe erteleyin ki iki taraf ın gönlü olsun ,"0",""
 mağdur olmas ın diye tek bir ögrenci için tren durağ ı işleten japonya turizm geliri için milyonlarca ögrencisini hiçe sayan ülkem,"1",""
 s ınav eylül de olabilirdi aileler bu uzun maratondan bunal ıp çocuklar ına nefes ald ırmak için tatile ç ıkabilirlerdi ,"1",""
 turizm temmuz içinse ağustos eylule al ın s ınav ı ,"0",""
 s ınav ı öne almadan önce maskelerin ve dezenfektanlar ın bulaşmay ı önleme de yetersiz olduğunu o yüzden evlerden ç ıkmamam ız gerektiğini ne zaman anlayacaks ın ız ,"1",""
 dünyaca ünlü turizm merkezi uzungöl de kovid sessizliği ,"0",""
 diyanet milyar liral ık harcama ile bakanl ığ ı geride b ırakt ı cumhuriyet  yer alan habere göre diyanet ayl ık harcamas ı ,"0",""
 say ın erteleyin ki bayram olsun turizm gençlikten önemli değildir ,"1",""
 geçen gün turizm bakan ı olay ında reise had bildirmeye çal ışan saçma tav ırlar içinde olan birkaç hesap vard ı sinirlendim ,"1",""
 bakan ı mehmet nuri ersoy  istanbul  fethini işgal olarak nitelendirmesi türk milletince kabul edilecek mi ,"1",""
hem turizm hemde bizler önemliyiz o yüzden s ınav ı daha ileri bir tarihe erteleyin  iki taraf ın gönlü olsun ,"0",""
 trabzon  turizm sektörünün temsilcileri ile biraraya geldik pandemi  turizm sektörüne etkileri ile coronavirü ,"0",""
 kurum yerli ve yabanc ı turistler için önemli bir turizm merkezi olan ilçemizin çehresini de değiştirecek,"2",""
 samet say ın cumhurbaşkan ım erteleyinki bayram olsun turizm gençlikten önemli değildir ,"1",""
dedi ve yks tarihini turizm için öne çekti işte ,"1",""
 para bu kadar önemliyse gençliğin sağl ığ ından adaylar bir kere daha tl versin bari turizm için ertelemenize gerek kalmaz ,"0",""
sizden k ıyak isteyen yok turizm yüzünden yediğiniz hakk ım ız ı geri verin haftad ır milletün plan ı alt üst oldu ,"1",""
bugün saat nejla kurul ve eğitimsen şb bşk yurttaş y ıld ır ım ile giderek büyüyen eğitim sorunlar ın ı konuşacağ ız,"0",""
 gercekten niye kimse cikip aciklama yapmiyor bari aciklama yapin sundan ertelemiyoruz turizm bi aciklayin ,"1",""
 biz gençlerin hayallerini turizm için satmak yerine bize b ırakacağ ın ız geleceği güzelleştirebilmemiz için iş yap ın,"1",""
 turizm bakan ından daha değerli olduğumuzu bu günde gösterin bize ,"1",""
 çocuklar ım ız ın geleceğini psikolojisini kaç paraya satt ın ız bu kadar öğrenci sizin turizm şirketi sahibi bakan ın ız ın cebini doldurmak içinmi var ,"1",""
 keşke bize turizm sizden önemlidir diye aç ıklama yapsan ız en az ından dürüst olursunuz ,"1",""
 siz bilirsiniz ama benim bir fikrim var s ınav ı eylül ay ına al ın ne turizm zarar görsün ne egitim ,"0",""
 hiçbir ülke turizm geliri için gençliğini ve geleceğini satmaz ,"1",""
bu s ınav tarihini değiştirirken pedaloglara ve psikologlara dan ış ıld ı m ı tabiki hay ır bu karar ı kim verdi turizm ,"1",""
 turizm yokluğundan korkuyorsan ız erteleyin ağustosa aytden ç ık ınca dağ ıt ın herkese bayrak zafer bayram ın ı kutlayal ım ,"0",""
 ben turizm okudum ondan da bi bok olmuyor arkadaşlar sadece derste rak ı şarap falan içip alkollü içecekler hakk ında konuşuluyor,"1",""
 çocuklar ım ız turizm gelirine kurban edilemez ,"1",""
 hay ır ama şuan  en sağl ıkl ıs ı bu olacak ve diyoruz ki virüs tehlikesi geçene kadar olsun beklesinler bi ,"0",""
 bu ç ıkarc ı düşüncelerinizle bu çocuklar ı boğamayacaks ın ız gençleri yak ıyorsunuz turizm iyi olmuş kime ne ,"1",""
  başkan ı mehmet şahin neden dillendirmiyor bu turizm esnaflar ın ın dükkan kiralar ın ı ,"1",""
 nisan  üzerinde ürüne ilave gümrük vergisi gelmişti bugün  pek çok üründe gümrük vergisi art ır ıld ı ben ,"1",""
 kktc aç ıs ından hem iyi bir gelişme hem de büyük başar ı konu türkiye  girişimleriyle mümkünse dsö  tescil ettiri ,"2",""
 bekliyoruz serik  belediye başkan ına rüşveti kimin verdiği ile ilgili turizm bakan ın ın aç ıklamas ın ı ,"1",""
covid pandemisinde kongre ve etkinliklere yaklaş ım ım ız anketibsektörün nabz ın ı birlikte tutal ım   ,"0",""
  turizm  hizmetlisine el öptürüp bahşiş verirken böyle görgüsüz ve insanl ıktan ç ıkm ış kişileri cezaland ır ın ,"1",""
 olmad ı öğrenciye ait tek cümle kurmad ı çaydan bahsetti cumhur ittifak ı dedi fetö dedi ama milyonlarca ögrenciyi turizme kurban etti,"1",""
 uzmanlar yan ıtlad ı turizm sektörü ve taş ımac ıl ık pandemiden sonra nas ıl değişecek ,"0",""
 aydogan dün turizm bakan ı tiyatrolar ın geleceği konusunda önemsiz aç ıklamalar yapt ı ,"1",""
 tami tamina senedir kicimi yirtiyorum sesimi duyurabilmek icin yuzlerce kez cimer e yazdim rte a mail fax gönderdim   ,"1",""
 uzun y ıllar tarihi dokusunu korumuş olan ceyhan köprüsü taş köprü çevresine yapmay ı planlad ığ ım ız k ılavuzlu millet bahçesini istemiyoruz ,"1",""
 turizm için eğitimi feda etmişler sen daha ne dersin neyden bahsedersin ,"1",""
 nisan da in üzerinde ürüne ilave gümrük vergisi gelmişti bugün de pek çok üründe gümrük vergisi art ır ıld ı ,"0",""
 bu öğrencilerin sesini duyun art ık turizm mi daha önemli yoksa insan can ı m ı ,"1",""
 bu ogrencilerin ailelerinden ald ıginiz yardimlar yetmedi mi de turizm ugruna geleceklerini yakiyosunuz ,"1",""
 turizm şirketleri insan sağl ığ ından önemli değildir ,"1",""
 antalya da turizm ayağ ına yasaklar ı kald ırd ın ız sokaklar full,"1",""
 sorular ı turizm bakan ı haz ırlas ın ,"1",""
türk gençleri olarak bu ülkede söz sahibi olmad ığ ım ız ı ve turizm sektörünün yar ın ın büyükleri olan bizden ağ ır bast ı ,"1",""
en baştan beri bunu söylüyorum ama gidilecek bölgeler k ıs ıtl ı olmal ı turizm alanlar ına giriş engellenmeli sadece ,"0",""
turizm dekanlar ı paneli canl ı yay ın ın ı izleyemeyenler için link aşağ ıda yer almaktad ır ,"0",""
her ne kadar bu isteklerde bulunan gençlerin baz ılar ın ın art niyetli ve nefsani duygular ına kat ılmasam da al ınan karar yanl ış,"1",""
 bizim savaştan önce eğitim diyen bi atam ız vard ı şimdi eğitimden önce turizm diyen yönetim var,"1",""
 bütün umudum gençliktedir bu söz ne kadar anlaml ı ve doğru değil mi bu söz tam da bu sene unutuldu ,"1",""
eğitim kararlar ın ı turizm bakan ı n ın ald ığ ı nerede görüldü ,"1",""
 lan tamam bari ağustosta yap ın o zaman turizm de etkilenmez eylülde de tercihleri yapar ız öğrenci düşman ı m ıs ın ız ya   ,"0",""
 amaç turizmi değil şirketi olan turizm bakan ın ı kurtarma çabas ıd ır ,"1",""
 sanki temmuz ay ında özellikle turizm beldelerinde ki işletmeler rahatlayacakt ır,"2",""
yks siyasi iktidar taraf ından turizm sezonu gerekçe gösterilerek ay öne çekildi ,"0",""
 beyefendi virüs varken s ırf turizm için s ınav ı öne çekmek mant ıks ızl ık   ,"1",""
 dünya turizm örgütü uluslararas ı turizmde bu y ıl milyon ila milyar turist kayb ı yaşanacak dedi,"1",""
turkiye sehir olarak antalya sektor olarakcilik bu viruse karsi her anlamda en hazir olandir   ,"2",""
 imar plan ı onayland ı koruma amaçl ı imar plan ı kültür ve turizm bakanl ığ ı taraf ından onayland ı   ,"0",""
 turizm bakani ösym başkan ı milli egitim bakan ı ve özellikle cumhurbaşkani sizler özellikle bu karede net milyon twitle cevap vereceğiz ,"1",""
 bu ç ıkarc ı düşüncelerinizle bu çocuklar ı boğamayacaks ın ız gençleri yak ıyorsunuz turizm iyi olmuş ,"1",""
 yaz ıklar olsun ya daha ne denilebilir ki çay kadar turizm kadar değerimiz yokmuş ,"1",""
 hat ırlatma için teşekkür kim bilir daha neler var doğu karadeniz de bunu şimdi görüyorum bölge gelecek için ekoturizm ,"2",""
 ne okudun turizm senin oraya gelim de bana bi rus ayarla ,"1",""
 en baştan beri bunu söylüyorum ama gidilecek bölgeler k ıs ıtl ı olmal ı turizm alanlar ına giriş engellenmeli ,"0",""
avmler aç ıls ın berberler güzellik salonlar ı aç ıls ın s ınavlar öne çekilip öğrencilerin psikolojileri altüst edilsin ,"1",""
 dogu avm çal ışanlar ı aktiftiler bir şekilde k ısa ödenek alabiliyorlar   ,"1",""
 turizmden aç ılsa da beklentimiz çok yüksek olmamal ı biz gelecek turistten pcr talep etsek de turist gelirken acaba gidip yaparm ı ,"0",""
 ziya selçuk diyor yks bizimle ilgili değil yök ortal ıkta yok bize turizm bakan ı bak ıyor ,"1",""
 şile yi hem istanbul hem de türkiye ölçeğinde turizm destinasyonu haline getirmek en büyük arzumuz ,"2",""
istanbul il kültür ve turizm müdürlüğümüzün ev sahipliğinde gerçekleşecek olan program sosyal medya hesaplar ım ızda,"0",""
 bana bak ösym vallahi çocuklar ı bi salar ım d ışar ıya virüs mirüs hak getire ondan sonra s ınavlarda sorars ın   ,"1",""
 turizm bakan ın ında bu kadar üzerine gelmeyin sonuçta etstur un sahibi ve milletten daha önemli işleri var ,"1",""
 cahil yandaş ve yalanci adana daki zaten ad ı üstünde sahra hastanesi olduğu için acele alç ıpan panellerle yap ıld ı,"1",""
turizm bölgesi ama senelerdir turizm yat ır ım ından vazgeçtim altyap ıs ı bile tam yap ılmad ı havaalan ına sahil yolu aç ılmad ı ,"1",""
hep beraber ya gidiyoruz japonya turizm ajans ı temmuz ay ı itibariyle ülkeyi ziyaret edecek olan turistlere promosyon verecekmiş ,"2",""
 bence bu y ıl rusya dan turist beklentisini yükseltmeyelim bahanesiyle vatandaşlar ın ın yurt d ış ına ç ık ış ın ı teşvik etmeyin,"1",""
yks nin yar ın yap ılmas ı için milyon tweet atal ım bugün turizm bizden değerlidir önü aç ıls ın ,"0",""
 bizim turizm ve hizmet sektörü istihdam ın dan fazlas ın ı karş ıl ıyor çok büyük bir rakam mecburuz ,"0",""
 şanl ıurfa daki göbeklitepe the national geographic in mutlaka ziyaret edilmesi gereken yerler listesinde,"0",""
bakan çavuşoğlu türkiye nin d ış politikas ın ı atatürk ün yurtta sulh cihanda sulh anlay ış ıyla sürdürüyoruz ,"2",""
birazda turizm esnaf ın ın yan ında olsan ız çok seviniriz ,"1",""
